Circuit,Q,G,R_init,R_ann,ScFl_init,ScFl_ann,ΔScFl
Adder8,23,105,22,16,27.432,27.105,0.327
QFT8,8,148,8,8,13.738,13.711,0.027
barenco_tof_3.qasm,5,20,5,3,9.077,7.392,1.684
barenco_tof_4.qasm,7,34,7,4,11.355,8.907,2.448
barenco_tof_5.qasm,9,50,9,7,13.752,12.747,1.005
csla_mux_3_original,15,50,12,12,17.698,17.698,0.000
csum_mux_9_corrected,30,56,29,29,33.250,33.250,0.000
gf2^4_mult,12,51,12,12,18.342,18.342,0.000
ham15-low.qc,17,167,17,17,24.358,24.358,0.000
hwb6.qc,7,79,7,7,14.176,14.176,0.000
mod_mult_55,9,35,9,8,15.203,14.577,0.626
mod_red_21,11,74,11,11,17.722,17.721,0.001
qcla_com_7,24,95,24,24,30.174,30.174,0.000
qft_4.qasm,5,159,5,6,11.811,11.591,0.220
rc_adder_6,14,68,14,14,19.871,19.858,0.012
tof_10,19,51,19,19,24.778,24.761,0.017
tof_3,5,9,5,3,9.209,7.322,1.888
tof_4,7,15,7,5,11.980,9.925,2.055
tof_5,9,21,9,6,14.076,10.512,3.564
vbe_adder_3,10,30,10,5,14.015,9.989,4.026
